PROVINCIA,PARTIDO,HAB_2001,HAB_2010,VAR_2001-2010,VAR_PORCENTUAL
Provincia de Buenos Aires.,San Fernando,151.131,163.240,12.109,"8,0"
Entre Rios,Gualeguaychú,101.350,109.461,8.111,"8,0"
Jujuy,Ledesma,75.716,81.790,6.074,"8,0"
Santiago del Estero,Río Hondo,50.781,54.867,4.086,"8,0"
Mendoza,Junín,35.045,37.859,2.814,"8,0"
Provincia de Buenos Aires.,General Juan Madariaga,18.286,19.747,1.461,"8,0"
Provincia de Buenos Aires.,Navarro,15.797,17.054,1.257,"8,0"
Chaco,General Güemes,62.227,67.132,4.905,"7,9"
La Pampa,Maracó,54.699,59.024,4.325,"7,9"
Corrientes,Monte Caseros,33.684,36.338,2.654,"7,9"
Salta,La Candelaria,5.286,5.704,418,"7,9"
Entre Rios,Gualeguay,48.147,51.883,3.736,"7,8"
Misiones,Montecarlo,34.073,36.745,2.672,"7,8"
Entre Rios,San Salvador,16.118,17.357,1.239,"7,7"
La Pampa,Chapaleufú,10.787,11.620,833,"7,7"
Tucuman,Leales,51.090,54.949,3.859,"7,6"
Neuquen,Chos Malal,14.185,15.256,1.071,"7,6"
Tucuman,Tafí del Valle,13.883,14.933,1.050,"7,6"
Provincia de Buenos Aires.,Olavarría,103.961,111.708,7.747,"7,5"
Tucuman,Chicligasta,75.133,80.735,5.602,"7,5"
Catamarca,La Paz,21.061,22.638,1.577,"7,5"
Tucuman,La Cocha,17.683,19.002,1.319,"7,5"
Santiago del Estero,San Martín,9.148,9.831,683,"7,5"
Salta,Los Andes,5.630,6.050,420,"7,5"
Tucuman,Río Chico,52.925,56.847,3.922,"7,4"
Provincia de Buenos Aires.,Colón,23.179,24.890,1.711,"7,4"
Corrientes,San Martín,12.236,13.140,904,"7,4"
Santa Fe,La Capital,489.505,525.093,35.588,"7,3"
Cordoba,Río Cuarto,229.728,246.393,16.665,"7,3"
Santiago del Estero,Avellaneda,19.348,20.763,1.415,"7,3"
San Juan,Angaco,7.570,8.125,555,"7,3"
Corrientes,Berón de Astrada,2.294,2.461,167,"7,3"
Provincia de Buenos Aires.,Almirante Brown,515.556,552.902,37.346,"7,2"
Mendoza,Rivadavia,52.567,56.373,3.806,"7,2"
Provincia de Buenos Aires.,Chacabuco,45.445,48.703,3.258,"7,2"
Tucuman,Juan B. Alberdi,28.206,30.237,2.031,"7,2"
Provincia de Buenos Aires.,Dolores,25.216,27.042,1.826,"7,2"
Neuquen,Loncopué,6.457,6.925,468,"7,2"
Neuquen,Picún Leufú,4.272,4.578,306,"7,2"
Entre Rios,Uruguay,94.070,100.728,6.658,"7,1"
Provincia de Buenos Aires.,Trenque Lauquen,40.181,43.021,2.840,"7,1"
Cordoba,General Roca,33.323,35.645,2.322,"7,0"
Chaco,San Fernando,365.637,390.874,25.237,"6,9"
Provincia de Buenos Aires.,San Pedro,55.234,59.036,3.802,"6,9"
Provincia de Buenos Aires.,General Villegas,28.960,30.864,1.904,"6,6"
Santiago del Estero,Juan F. Ibarra,16.937,18.051,1.114,"6,6"
Provincia de Buenos Aires.,Arrecifes,27.279,29.044,1.765,"6,5"
Corrientes,San Luis del Palmar,16.513,17.590,1.077,"6,5"
Provincia de Buenos Aires.,Daireaux,15.857,16.889,1.032,"6,5"
Santa Fe,Rosario,1.121.441,1.193.605,72.164,"6,4"
Entre Rios,Paraná,319.614,339.930,20.316,"6,4"
San Juan,Rawson,107.740,114.368,6.628,"6,2"
Chaco,Quitilipi,32.083,34.081,1.998,"6,2"
Provincia de Buenos Aires.,Ituzaingó,158.121,167.824,9.703,"6,1"
Santa Fe,San Cristóbal,64.935,68.878,3.943,"6,1"
Santa Fe,General Obligado,166.436,176.410,9.974,"6,0"
Catamarca,Andalgalá,17.102,18.132,1.030,"6,0"
La Pampa,Realicó,15.302,16.227,925,"6,0"
Provincia de Buenos Aires.,Bahía Blanca,284.776,301.572,16.796,"5,9"
Chaco,9 de Julio,26.955,28.555,1.600,"5,9"
San Luis,Gobernador Dupuy,11.120,11.779,659,"5,9"
La Pampa,Limay Mahuida,475,503,28,"5,9"
Provincia de Buenos Aires.,San Nicolás,137.867,145.857,7.990,"5,8"
Formosa,Patiño,64.830,68.581,3.751,"5,8"
La Rioja,Chamical,13.383,14.160,777,"5,8"
Provincia de Buenos Aires.,Mercedes,59.870,63.284,3.414,"5,7"
Chaco,Sargento Cabral,15.030,15.889,859,"5,7"
La Rioja,Rosario Vera Peñaloza,13.299,14.054,755,"5,7"
Jujuy,San Pedro,71.037,75.037,4.000,"5,6"
Provincia de Buenos Aires.,Chivilcoy,60.762,64.185,3.423,"5,6"
Provincia de Buenos Aires.,Punta Indio,9.362,9.888,526,"5,6"
Cordoba,Unión,100.247,105.727,5.480,"5,5"
Corrientes,Curuzú Cuatiá,42.075,44.384,2.309,"5,5"
Santa Fe,9 de Julio,28.273,29.832,1.559,"5,5"
Provincia de Buenos Aires.,Pergamino,99.193,104.590,5.397,"5,4"
Provincia de Buenos Aires.,Bolívar,32.442,34.190,1.748,"5,4"
Provincia de Buenos Aires.,Laprida,9.683,10.210,527,"5,4"
Misiones,Concepción,9.085,9.577,492,"5,4"
Provincia de Buenos Aires.,Carlos Casares,21.125,22.237,1.112,"5,3"
Provincia de Buenos Aires.,Hurlingham,172.245,181.241,8.996,"5,2"
Santa Fe,San Martín,60.698,63.842,3.144,"5,2"
