PROVINCIA;PARTIDO;HAB_2001;HAB_2010;VAR_2001-2010;VAR_PORCENTUAL
Provincia de Buenos Aires.;Tordillo;1742;1764;22;1
Provincia de Buenos Aires.;General Pinto;11129;11261;132;1
Provincia de Buenos Aires.;Tres de Febrero;336467;340071;3604;1
Entre Rios;La Paz;66158;66903;745;1
Entre Rios;Villaguay;48416;48965;549;1
La Rioja;General Lamadrid;1717;1734;17;1
La Rioja;Independencia;2405;2427;22;1
Formosa;Pirané;64023;64566;543;1
Chaco;General Donovan;13385;13490;105;1
Rio Negro;Pichi Mahuida;14026;14107;81;1
Provincia de Buenos Aires.;San Isidro;291505;292878;1373;1
Entre Rios;Nogoyá;38840;39026;186;1
Salta;Cachi;7280;7315;35;1
Santa Fe;Vera;51303;51494;191;0
Corrientes;General Paz;14775;14836;61;0
Provincia de Buenos Aires.;Carlos Tejedor;11539;11570;31;0
Provincia de Buenos Aires.;General Arenales;14876;14903;27;0
La Pampa;Rancul;10648;10668;20;0
La Pampa;Atreucó;10134;10153;19;0
Salta;La Poma;1735;1738;3;0
Provincia de Buenos Aires.;Adolfo Gonzales Chaves;12037;12047;10;0
Provincia de Buenos Aires.;Maipú;10193;10188;-5;0
Chaco;2 de Abril;7435;7432;-3;0
Provincia de Buenos Aires.;Tres Arroyos;57244;57110;-134;0
La Rioja;General San Martín;4956;4944;-12;0
La Pampa;Loventué;8649;8619;-30;0
Provincia de Buenos Aires.;Salliqueló;8682;8644;-38;0
Rio Negro;9 de julio;3501;3475;-26;-1
Salta;Guachipas;3211;3187;-24;-1
Entre Rios;Tala;25892;25665;-227;-1
Catamarca;Tinogasta;22570;22360;-210;-1
La Pampa;Quemú Quemú;8756;8663;-93;-1
La Rioja;Castro Barros;4322;4268;-54;-1
Corrientes;Sauce;9151;9032;-119;-1
Santiago del Estero;Sarmiento;4669;4607;-62;-1
Catamarca;Ambato;4525;4463;-62;-1
Provincia de Buenos Aires.;Vicente López;274082;269420;-4662;-2
La Rioja;General Angel V. Peñaloza;3127;3073;-54;-2
Provincia de Buenos Aires.;General La Madrid;10984;10783;-201;-2
Chubut;Paso de Indios;1905;1867;-38;-2
Chaco;Tapenagá;4188;4097;-91;-2
Provincia de Buenos Aires.;Pellegrini;6030;5887;-143;-2
Catamarca;Paclín;4290;4185;-105;-2
La Rioja;General Ocampo;7331;7145;-186;-3
Corrientes;General Alvear;8147;7926;-221;-3
Salta;San Carlos;7208;7016;-192;-3
La Rioja;Coronel Felipe Varela;9939;9648;-291;-3
La Rioja;San Blas de los Sauces;4048;3927;-121;-3
San Juan;Capital;112778;109123;-3655;-3
Cordoba;Minas;4881;4727;-154;-3
La Pampa;Conhelo;14591;14077;-514;-4
Chubut;Río Senguer;6194;5979;-215;-4
Provincia de Buenos Aires.;Coronel Pringles;23794;22933;-861;-4
La Rioja;Vinchina;2834;2731;-103;-4
La Pampa;Hucal;7838;7540;-298;-4
Provincia de Buenos Aires.;Puán;16381;15743;-638;-4
Provincia de Buenos Aires.;Coronel Dorrego;16522;15825;-697;-4
La Pampa;Guatraché;9306;8831;-475;-5
Catamarca;Ancasti;3082;2917;-165;-5
Chubut;Gastre;1508;1427;-81;-5
La Pampa;Chical Co;1595;1502;-93;-6
Salta;Iruya;6368;5987;-381;-6
Santiago del Estero;Quebrachos;11331;10568;-763;-7
Salta;Santa Victoria;11122;10344;-778;-7
La Rioja;Famatina;6371;5863;-508;-8
Chubut;Telsen;1788;1644;-144;-8
San Luis;Libertador General San Martín;5189;4707;-482;-9
La Rioja;General Juan F. Quiroga;4546;4108;-438;-10
Jujuy;Santa Catalina;3140;2800;-340;-11
Neuquen;Catán Lil;2469;2155;-314;-13
Rio Negro;Ñorquinco;2079;1736;-343;-17
La Pampa;Lihuel Calel;547;439;-108;-20
Chubut;Mártires;977;778;-199;-20
